,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
39826,4319,LICD,medium_airport,Lampedusa Airport,35.497898,12.6181,70.0,EU,IT,IT-82,Lampedusa,yes,LICD,LMP,AG01,,https://en.wikipedia.org/wiki/Lampedusa_Airport,
39827,4320,LICG,medium_airport,Pantelleria Airport,36.816502,11.9689,628.0,EU,IT,IT-82,Pantelleria (TP),yes,LICG,PNL,TP02,,https://en.wikipedia.org/wiki/Pantelleria_Airport,I D'Amico
39828,4321,LICJ,large_airport,Falcone–Borsellino Airport,38.175999,13.091,65.0,EU,IT,IT-82,Palermo,yes,LICJ,PMO,PA03,http://www.gesap.it/index.php,https://en.wikipedia.org/wiki/Falcone%E2%80%93Borsellino_Airport,"Palermo Airport, Punta Raisi Airport"
39831,4323,LICR,medium_airport,Reggio Calabria Airport,38.071201,15.6516,96.0,EU,IT,IT-78,Reggio Calabria,yes,LICR,REG,RC01,,https://en.wikipedia.org/wiki/Reggio_Calabria_Airport,Tito Minniti
39832,4324,LICT,medium_airport,Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488,25.0,EU,IT,IT-82,Trapani (TP),yes,LICT,TPS,TP01,,https://en.wikipedia.org/wiki/Vincenzo_Florio_Airport_Trapani%E2%80%93Birgi,"Vincenzo Florio Airport, Trapani Airport, Aeroporto Vincenzo Florio di Trapani-Birgi"
39833,4325,LICZ,medium_airport,Sigonella Navy Air Base,37.401699,14.9224,79.0,EU,IT,IT-82,Sigonella (CT),no,LICZ,NSY,CT04,,,C Di Palma
39835,29417,LIDB,small_airport,Belluno Airport,46.166549,12.250389,1240.0,EU,IT,IT-34,Belluno (BL),no,LIDB,BLX,BL05,http://www.aeroclubbelluno.org/,https://en.wikipedia.org/wiki/Belluno_Airport,
39841,31824,LIDI,closed,Cortina Airport,46.573001861600005,12.1180000305,4213.0,EU,IT,IT-34,Cortina D'Ampezzo,no,LIDI,CDF,,,https://en.wikipedia.org/wiki/Cortina_Airport,Fiames Airport
39846,4328,LIDR,small_airport,Ravenna Airport,44.36391,12.224978,1.0,EU,IT,IT-45,Ravenna,no,LIDR,RAN,RA06,http://www.aeroclubravenna.com,https://en.wikipedia.org/wiki/Ravenna%20Airport,"Foligno, Gastone Novelli, Ravenna Aero Club"
39852,4330,LIEA,medium_airport,Alghero-Fertilia Airport,40.632099,8.29077,87.0,EU,IT,IT-88,Alghero,yes,LIEA,AHO,SS02,http://www.aeroportodialghero.it/home_en.asp,https://en.wikipedia.org/wiki/Alghero-Fertilia_Airport,"Alghero Airport, Sardinia, Alghero - Riviera del Corallo Airport"
39853,4331,LIED,medium_airport,Decimomannu Air Base,39.354198,8.97248,100.0,EU,IT,IT-88,Decimomannu,no,LIED,DCI,CA12,,,G. Farina
39854,4332,LIEE,large_airport,Cagliari Elmas Airport,39.251499,9.05428,13.0,EU,IT,IT-88,Cagliari,yes,LIEE,CAG,CA07,http://www.cagliariairport.it/en/,https://en.wikipedia.org/wiki/Cagliari_Elmas_Airport,"Cagliari Airport,Elmas"
39855,4333,LIEO,medium_airport,Olbia Costa Smeralda Airport,40.898701,9.51763,37.0,EU,IT,IT-88,Olbia (SS),yes,LIEO,OLB,SS03,,https://en.wikipedia.org/wiki/Olbia_Costa_Smeralda_Airport,
39856,29424,LIER,small_airport,Oristano-Fenosu Airport,39.895308,8.642661,36.0,EU,IT,IT-88,Oristano,no,LIER,FNU,OR01,http://www.sogeaor.it,http://it.wikipedia.org/wiki/Aeroporto_di_Oristano-Fenosu,QOS
39857,4334,LIET,medium_airport,Tortolì Airport,39.9188,9.68298,23.0,EU,IT,IT-88,Arbatax,no,LIET,TTB,NU01,,https://en.wikipedia.org/wiki/Tortol%C3%AC_Airport,Tortolì-Arbatax airport
39877,4340,LIMC,large_airport,Malpensa International Airport,45.6306,8.72811,768.0,EU,IT,IT-25,Milan,yes,LIMC,MXP,MI12,http://www.sea-aeroportimilano.it/en/malpensa/index.phtml,https://en.wikipedia.org/wiki/Malpensa_Airport,MIL
39878,4341,LIME,large_airport,Milan Bergamo Airport,45.673901,9.70417,782.0,EU,IT,IT-25,Milan,yes,LIME,BGY,BG01,http://www.sacbo.it/,https://en.wikipedia.org/wiki/Orio_al_Serio_International_Airport,"Bergamo Orio al Serio Airport, Il Caravaggio International Airport"
39879,4342,LIMF,large_airport,Turin Airport,45.200802,7.64963,989.0,EU,IT,IT-21,Torino,yes,LIMF,TRN,TO11,http://www.aeroportoditorino.it/,https://en.wikipedia.org/wiki/Turin_International_Airport,"Torino-Caselle Airport, Sandro Pertini Airport, Turin-Caselle Airport"
39880,4343,LIMG,medium_airport,Villanova D'Albenga International Airport,44.050598,8.12743,148.0,EU,IT,IT-42,Albenga (SV),no,LIMG,ALL,SV01,http://www.rivierairport.it/,https://en.wikipedia.org/wiki/Villanova_d'Albenga_International_Airport,C. Panero Airport
39882,4344,LIMJ,medium_airport,Genoa Cristoforo Colombo Airport,44.4133,8.8375,13.0,EU,IT,IT-42,Genova,yes,LIMJ,GOA,GE01,http://www.aeroportodigenova.com/en/home/index.php,https://en.wikipedia.org/wiki/Genoa_Cristoforo_Colombo_Airport,"Genova Sestri, Sestri Cristoforo Colombo Airport, Cristoforo Colombo Airport"
39883,4345,LIML,medium_airport,Milano Linate Airport,45.445099,9.27674,353.0,EU,IT,IT-25,Milan,yes,LIML,LIN,MI11,http://www.sea-aeroportimilano.it/en/,https://en.wikipedia.org/wiki/Linate_Airport,E Forlanini
